Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
PGC040365	186.091779	13.028343	0.256	0.256	0.0	18.45	4.0694	-2.238	9.0447	12.74
IC3292	186.201524	18.195103	0.547	0.408	133.8	51.16	15.7551	-2.048	8.894	7.73
NGC4370	186.228848	7.444701	0.809	0.531	79.3	53.41	20.6063	-0.584	10.1356	17.17
NGC4374	186.26544	12.887109	3.707	3.221	133.4	39.61	17.7249	-0.987	11.2392	17.8
NGC4384	186.299697	54.506199	0.637	0.494	84.9	41.69	19.9525	-0.325	9.678	30.28
NGC4390	186.461103	10.459049	0.76	0.564	99.0	43.28	19.0414	-0.753	9.6574	18.43
IC3328	186.491231	10.053756	0.439	0.439	0.0	26.02	16.9153	-1.862	9.1728	14.53
NGC4405	186.529729	16.180965	0.762	0.512	20.6	52.57	18.5982	-0.488	10.0238	18.78
NGC4414	186.612942	31.223514	0.975	0.561	162.3	56.58	17.6155	0.778	10.9442	16.0
PGC040707	186.63836	12.743011	0.271	0.271	0.0	29.47	17.6799	-2.058	8.8285	13.72
NGC4415	186.668666	8.435683	0.641	0.565	6.1	31.3	15.6635	-1.676	9.5569	18.05
NGC4416	186.694584	7.91885	0.785	0.687	112.2	29.37	17.7307	-0.721	9.3423	18.12
NGC4411B	186.696671	8.88459	0.962	0.962	0.0	27.27	17.656	-1.087	9.4398	18.06
NGC4441	186.83484	64.801538	2.065	1.479	171.3	50.3	19.3089	-0.317	9.7971	35.07
NGC4430	186.859668	6.262971	1.012	0.75	74.7	43.81	16.1181	-0.728	9.9054	17.64
UGC07580	186.978478	8.090424	0.337	0.265	45.6	51.71	16.0145	-2.054	9.0135	5.28
NGC4450	187.122983	17.084899	2.729	1.888	172.7	48.76	14.9634	-0.707	10.7617	18.25
PGC041090	187.22895	9.42112	0.212	0.152	23.1	52.49	17.5702	-1.894	8.1926	18.53
NGC4457	187.245915	3.570599	1.396	1.183	78.5	34.65	17.378	-0.097	10.6	17.27
NGC4467	187.376091	7.99288	0.297	0.244	55.2	49.63	16.6665	-1.896	9.4789	15.98
PGC041180	187.395787	8.05798	0.167	0.167	0.0	42.0	16.293	-2.222	8.7172	11.54
NGC4470	187.407519	7.82411	0.641	0.432	1.1	50.58	15.0324	-0.57	9.5356	17.48
NGC4486B	187.633218	12.490193	0.19	0.19	0.0	19.65	16.2988	-1.511	9.6539	16.5
NGC4486	187.706364	12.390519	3.556	3.556	0.0	26.43	16.123	-1.175	11.3209	17.88
IC0797	187.978236	15.123922	0.55	0.375	105.2	47.96	14.2633	-1.005	9.218	13.43
PGC041507	187.982395	8.602231	0.2	0.181	80.9	29.46	17.5586	-2.122	8.3355	6.0
NGC4506	188.043786	13.419623	0.815	0.556	107.3	50.61	17.0412	-0.856	9.5906	17.75
IC3468	188.059213	10.251462	0.641	0.577	170.2	35.84	15.6341	-1.958	9.4135	9.21
NGC4504	188.072696	-7.563389	1.622	1.005	156.2	52.91	17.5759	-0.512	9.9214	18.19
IC3470	188.097426	11.262954	0.476	0.476	0.0	7.63	16.0758	-1.885	9.1987	11.86
IC0798	188.139215	15.415401	0.452	0.452	0.0	21.09	16.0119	-2.112	8.9925	11.08
IC3478	188.184185	14.196178	0.455	0.405	119.9	31.66	19.3218	-1.743	9.2368	14.95
NGC4509	188.276993	32.090927	0.334	0.183	161.0	59.79	10.0925	-1.394	8.0281	17.48
IC3483	188.291916	11.347617	0.435	0.274	177.0	53.44	15.8212	-1.622	9.0085	17.46
NGC4523	188.45047	15.168444	0.622	0.622	0.0	25.12	16.8267	-1.151	9.0724	16.62
IC3501	188.465059	13.322488	0.464	0.464	0.0	33.05	16.3073	-1.851	9.1592	18.24
IC0800	188.486163	15.354724	0.753	0.551	151.0	44.14	14.9425	-1.26	9.3152	16.25
IC3540	188.863424	12.750265	0.439	0.394	68.1	30.04	17.3434	-1.531	9.1987	14.13
PGC041959	188.905198	12.382034	0.28	0.28	0.0	23.65	15.4719	-2.096	8.9728	18.66
NGC4561	189.033922	19.322671	0.659	0.562	61.2	35.15	17.7983	-0.622	9.4808	18.37
PGC042068	189.145602	8.05469	0.55	0.352	30.1	57.61	7.5162	-2.271	8.1037	11.69
NGC4571	189.234897	14.217351	1.782	1.782	0.0	22.13	14.771	-0.806	10.1862	15.84
NGC4579	189.431379	11.818135	2.506	1.919	90.2	41.86	17.0653	0.212	11.1006	16.09
NGC4595	189.966162	15.297731	0.762	0.483	109.9	52.63	13.4473	-0.971	9.4777	18.27
NGC4600	190.095729	3.117716	0.71	0.503	59.2	52.71	8.2427	-1.997	9.1374	16.51
NGC4618	190.386985	41.150939	1.782	1.143	32.5	57.57	6.628	-0.96	9.4088	17.28
